restaurant_name,address,phone_number,website,hygiene_rating,about,cuisines,features,special_diets,tripadvisor_url,tripadvisor_price_range,tripadvisor_food_rating,tripadvisor_overall_rating,tripadvisor_value_rating,google_price_level,google_rating,google_total_ratings,yelp_price,yelp_rating,yelp_review_count
TOKii,"50 Great Cumberland Pl, Marble Arch, London W1H 7FD, UK",020 7724 0486,http://tokii.co.uk/,"","","Japanese, Sushi, Asian, Healthy, Japanese Fusion","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d19509990-Reviews-TOKii-London_England.html,?5 - ?55,5.0,5.0,4.5,no price level,4.3,65,"","",""
Oi Vita Pizzeria,"67 Newington Green Rd, London N1 4QU, UK",020 3302 8700,https://oivita.london/,"","","Italian, Pizza, Mediterranean, European, Neapolitan, Campania, Southern-Italian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d11961993-Reviews-Oi_Vita_Pizzeria-London_England.html,?4 - ?15,5.0,5.0,4.5,2,4.8,657,"","",""
The Prince of Greenwich Pub,"72 Royal Hill, London SE10 8RT, UK",no phone number,https://www.theprinceofgreenwichpub.com/,"","","Mediterranean, Italian, Bar, Pizza, Pub, Sicilian, Southern-Italian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d7159326-Reviews-The_Prince_of_Greenwich_Pub-London_England.html,?8 - ?22,4.5,5.0,5.0,2,4.8,840,"","",""
E Pellicci,"332 Bethnal Green Rd, London E2 0AG, UK",020 7739 4873,http://epellicci.co.uk/,5,"","Italian, Cafe, British","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d731643-Reviews-E_Pellicci-London_England.html,?6 - ?17,4.5,5.0,4.5,1,4.8,1464,"","",""
Fishcotheque,"79A Waterloo Rd, London SE1 8UD, UK",020 7803 9892,https://thefishcotheque.com/,4,"","Seafood, Fast Food, British","Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g186338-d1316331-Reviews-Fishcotheque-London_England.html,"",4.5,4.5,4.5,1,4.4,1470,"","",""
Fishcotheque,"79A Waterloo Rd, London SE1 8UD, UK",020 7803 9892,https://thefishcotheque.com/,4,"","Seafood, Fast Food, British","Lunch, Dinner, Late Night","Takeout, Reservations, Seating, Highchairs Available, Wheelchair Accessible, Table Service",https://www.tripadvisor.com/Restaurant_Review-g186338-d1316331-Reviews-Fishcotheque-London_England.html,"",4.5,4.5,4.5,1,4.4,1470,"","",""
Osteria Napoletana,"186 Kensington Park Road ES, London W11 2ES, UK",020 7221 0154,https://osterianapoletana.co.uk/,5,"Osteria Napoletana offers traditional Neapolitan and Campanian dishes, with quality ingredients, everything surrounded by a chic atmosphere and at the same time genuine.","Italian, Seafood, Mediterranean, Neapolitan, Campania, Southern-Italian","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Free Wifi, Accepts Credit Cards, Table Service, Full Bar, Digital Payments","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d17383940-Reviews-Osteria_Napoletana-London_England.html,?15 - ?30,4.5,5.0,4.5,no price level,4.5,187,"","",""
Iran Restaurant,"27 Shepherd Market, London W1J 7PR, UK",020 7409 3337,http://www.iranrestaurant.co.uk/,2,"For Table Bookings https://iran-restaurant-mayfair.resos.com/booking Since opening our Iran Restaurant in 2001, weÃÂ¢ÃÂÃÂve been providing delicious food and refreshing drinks, in beautiful surro","Healthy, Middle Eastern, Persian","Delivery, Takeout, Reservations, Outdoor Seating, Private Dining, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d733340-Reviews-Iran_Restaurant-London_England.html,?36 - ?36,4.5,4.5,4.5,2,4.6,3558,"","",""
Humble Grape Liverpool Street,"8 Devonshire Row, London EC2M 4RH, UK",020 3887 9287,https://www.humblegrape.co.uk/wine-bar/liverpool-street/,"","","European, Wine Bar","","Vegetarian Friendly, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d13462998-Reviews-Humble_Grape_Liverpool_Street-London_England.html,?12 - ?48,5.0,5.0,4.5,no price level,4.4,77,"","",""
Chez Antoinette Victoria,"64 Buckingham Gate, 22 Palmer St, London SW1H 0PH, UK",020 3990 5377,http://www.chezantoinette.co.uk/,"","","French, European","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d16948705-Reviews-Chez_Antoinette_Victoria-London_England.html,?6 - ?16,5.0,5.0,5.0,no price level,4.6,351,"","",""
The Monsoon,"78 Brick Ln, London E1 6RL, UK",020 7375 1345,http://www.monsoonbricklane.co.uk/,3,"","Indian, Asian, Balti, Bangladeshi","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d1550869-Reviews-The_Monsoon-London_England.html,?14 - ?36,4.0,4.5,4.0,no price level,4.3,739,"","",""
Alcedo Bistro & Bar,"237 Holloway Rd, London N7 8HG, UK",020 7998 7672,https://alcedo-bistro-bar.business.site/?m=true,"","","European, British","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d10701523-Reviews-Alcedo_Bistro_Bar-London_England.html,?7 - ?34,4.5,5.0,4.5,no price level,4.7,279,"","",""
Sushi Tetsu,"12 Jerusalem Passage, London EC1V 4JP, UK",020 3217 0090,no website,"","","Japanese, Seafood, Sushi, Asian",Gluten Free Options,Dinner,https://www.tripadvisor.com/Restaurant_Review-g186338-d3314573-Reviews-Sushi_Tetsu-London_England.html,"",5.0,5.0,4.5,2,4.7,394,"","",""
Barge East Restaurant,"River Lee, Sweetwater Mooring, White Post Ln, London E9 5EN, UK",020 3026 2807,https://www.bargeeast.com/,"","Since launching in 2018, Barge East has become a prominent destination for food and drink in East London - a number one rated restaurant on TripAdvisor 2019/2020. Following on from this, we have now l",British,"Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts Credit Cards, Table Service, Wine and Beer, Live Music, Waterfront, Dog Friendly, Gift Cards Av","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d14766290-Reviews-Barge_East_Restaurant-London_England.html,?6 - ?18,5.0,5.0,4.5,2,4.5,877,"","",""
Nepal Authentic Dining,"121 Uxbridge Rd, London W12 8NL, UK",020 8740 7551,https://nepalauthenticdining.com/our_menu.php?utm_source=google&utm_medium=pin&utm_content=menu-button,4,"","Indian, Asian, Nepali","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d2013731-Reviews-Nepal_Authentic_Dining-London_England.html,?15 - ?22,4.5,4.5,4.5,2,4.6,262,"","",""
Anjanaas,"57-59 Willesden Ln, North Maida Vale, London NW6 7RL, UK",020 7624 1713,http://www.anjanaas.com/,"","","Indian, Asian","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",https://www.tripadvisor.com/Restaurant_Review-g186338-d2699789-Reviews-Anjanaas-London_England.html,"",4.5,4.5,4.5,2,4.5,511,"","",""
taNgia,"108 Mitcham Rd, London SW17 9NG, UK",020 3774 0779,http://tangia.co.uk/,"",Tangia is an independent family run trendy restaurant serving Moroccan and Mediterranean dishes with a modern gourmet twist. We also have seating for those seeking a coffee or just a drink from the ba,Mediterranean,"Delivery, Takeout, Seating, Street Parking, Free off-street parking, Highchairs Available, Serves Alcohol, Full Bar, Wine and Beer, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Wheelchai","Vegetarian Friendly, Vegan Options, Halal",https://www.tripadvisor.com/Restaurant_Review-g186338-d7391044-Reviews-TaNgia-London_England.html,?12 - ?30,5.0,5.0,4.5,2,4.6,245,"","",""
Wassouf Lounge,"4-5 N End Parade, London W14 0SJ, UK",020 7348 3697,http://www.wassouflounge.com/,5,"Fantastic New Lebanese \"excellent\" dishes are presented with \"understated flair\" so \"Delicious\" not shy to ask for more. Your choice of wraps and salads create your own dish,\"Eat how you like not how","Lebanese, Middle Eastern, Mediterranean","Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Television, Accepts American Express, Accepts Mastercard, Accepts Visa, Digital Payments, Free Wifi, Wheelchair Accessible, Accepts Cre","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d6619139-Reviews-Wassouf_Lounge-London_England.html,?6 - ?30,4.5,5.0,5.0,1,4.5,242,"","",""
Filika Restaurant,"62 High St, London E11 2RJ, UK",020 8530 1333,http://www.filikarestaurant.co.uk/,4,"","Mediterranean, Seafood, Middle Eastern, International","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d13565344-Reviews-Filika_Restaurant-London_England.html,?10 - ?25,4.5,5.0,4.5,2,4.7,519,"","",""
Morso Abbey Road,"130 Boundary Rd, London NW8 0RH, UK",020 7624 7412,http://www.morsolondon.co.uk/,"","Morso is a modern community-centred restaurant and bar, serving hand-crafted fresh pasta and small plates of Italian bites alongside innovative Grappa-based cocktails. We take inspiration from Italian","Italian, Bar, Mediterranean, European, Contemporary","Gift Cards Available, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Di","Vegetarian Friendly, Gluten Free Options, Vegan Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d14190070-Reviews-Morso_Abbey_Road-London_England.html,?12 - ?30,5.0,5.0,4.5,1,4.7,338,"","",""
Rock Star Sushi Bar,"Unit 5, The Long Shop, Watermill Way, London SW19 2RD, UK",07473 100008,no website,5,"",Sushi,"","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d6575472-Reviews-Rock_Star_Sushi_Bar-London_England.html,?30 - ?60,5.0,5.0,4.5,no price level,4.6,155,"","",""
Sam's Riverside,"1 Crisp Rd, London W6 9DN, UK",020 8237 1020,http://www.samsriverside.co.uk/,"","","British, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Drinks",https://www.tripadvisor.com/Restaurant_Review-g186338-d19273952-Reviews-Sam_s_Riverside-London_England.html,"",5.0,4.5,4.5,no price level,4.7,354,"","",""
Cafe Van Gogh,"88 Brixton Rd, Vassal, London SW9 6BE, UK",020 3903 9232,http://www.cafevangogh.co.uk/,5,"","Cafe, European, British, Healthy","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d10191943-Reviews-Cafe_Van_Gogh-London_England.html,?3 - ?14,5.0,5.0,4.5,1,4.7,704,"","",""
Monkey Temple,"92 Askew Rd, London W12 9BL, UK",020 8743 4597,http://monkeytempleonline.co.uk/?utm_source=google&utm_medium=pin-website&utm_content=website-button,4,"At Monkey Temple, we worship food. We believe food allows people to share, connect and stay healthy in their mind, body and spirit. Choosing only the freshest, seasonal and authentic ingredients, our","Indian, Asian, Nepali","Outdoor Seating, Seating, Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Delivery, Takeout, Reservations, Street Parking, Wheelc","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d6759550-Reviews-Monkey_Temple-London_England.html,?12 - ?30,4.5,4.5,4.5,2,4.6,284,"","",""
Shahi Pakwaan,"25 Aylmer Parade, Aylmer Rd, London N2 0PE, UK",020 8341 1111,https://shahipakwaan.co.uk/,4,"","Indian, Asian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d12116313-Reviews-Shahi_Pakwaan-London_England.html,?24 - ?42,5.0,5.0,5.0,2,4.7,247,"","",""
Memories of India Kensington,"18 Gloucester Rd, South Kensington, London SW7 4RB, UK",020 7589 6450,http://www.memoriesofindia.com/,"","","Indian, Asian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d1017393-Reviews-Memories_of_India_Kensington-London_England.html,?22 - ?35,4.5,4.5,4.0,2,4.3,481,"","",""
Home SW15,"146 Upper Richmond Rd, London SW15 2SW, UK",020 8780 0592,http://www.homesw15.com/,5,"","British, Healthy, European","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d12962245-Reviews-Home_SW15-London_England.html,?12 - ?38,4.5,5.0,4.5,2,4.7,401,"","",""
Cirrik 19 Numara Bos,"34 Stoke Newington Rd, London N16 7XJ, UK",020 7249 0400,http://www.cirrik.co.uk/,"","","Mediterranean, Barbecue, Turkish, Middle Eastern","","Vegetarian Friendly, Vegan Options, Halal, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d730384-Reviews-Cirrik_19_Numara_Bos-London_England.html,?10 - ?25,4.5,4.5,4.5,1,4.5,306,"","",""
Galvin La Chapelle,"35 Spital Square, London E1 6DY, UK",020 7299 0400,https://galvinrestaurants.com/restaurant/galvin-la-chapelle-the-city-michelin-star/,5,"The third restaurant to be opened by acclaimed chef brothers Chris and Jeff Galvin, La Chapelle has been consistently praised, winning no less than 8 top restaurant awards in its first year, including",French,"Reservations, Private Dining, Seating, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Live Music, Jazz Bar, Gift Cards Available","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d1645957-Reviews-Galvin_La_Chapelle-London_England.html,?66 - ?180,4.5,4.5,4.0,4,4.6,1914,"","",""
Sergio's,"84A Great Titchfield St., London W1W 7QY, UK",020 7436 7301,http://www.sergiosw1.co.uk/,5,"","Italian, Pizza, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Brunch, Late Night",https://www.tripadvisor.com/Restaurant_Review-g186338-d1044630-Reviews-Sergio_s-London_England.html,"",4.5,4.5,4.0,2,4.4,576,"","",""
Blacklock Soho,"24 Great Windmill St, London W1D 7LG, UK",020 3441 6996,https://theblacklock.com/restaurants/blacklock-soho/?utm_source=SOHO_GMB&utm_medium=GMB&utm_campaign=SOHO_RES&utm_id=SOHO_GMB,5,"Chops and steaks from award winning butcher and farmer Philip Warren in Cornwall, all cooked over a real charcoal grill alongside seasonal sides. Wine on tap and cocktails for a fiver as well as a Sun","Steakhouse, Barbecue, British","Highchairs Available, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Reservations, Seating, Accepts Credit Cards, Table Service",Gluten Free Options,https://www.tripadvisor.com/Restaurant_Review-g186338-d7707197-Reviews-Blacklock_Soho-London_England.html,?18 - ?36,4.5,4.5,4.5,2,4.7,2514,"","",""
Chojo,"16 Garway Rd, London W2 4NH, UK",020 3286 8286,http://www.chojo.co.uk/,"","","Chinese, Taiwanese, Street Food","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d15057719-Reviews-Chojo-London_England.html,?18 - ?108,4.5,5.0,4.5,no price level,4.8,258,"","",""
Caminata,"96 Bedford Hill, London SW12 9HR, UK",020 8772 0701,http://www.caminata.co.uk/,5,"","Italian, Pizza, European, Neapolitan, Campania, Southern-Italian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d2008532-Reviews-Caminata-London_England.html,?14 - ?28,4.5,4.5,4.5,2,4.6,408,"","",""
Venerdi,"9 Chatsworth Rd, London E5 0LH, UK",020 8533 1902,http://www.venerdi.co.uk/,3,"Since we opened, our focus and aim has been to provide quality authentic Italian food, along with a fantastic customer service that you canÃÂ¢ÃÂÃÂt help notice from the moment you enter our doors","Italian, Pizza, Seafood, Mediterranean, European, Tuscan, Romana, Lazio, Sicilian, Central-Italian, Southern-Italian","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Table Service","Gluten Free Options, Vegetarian Friendly, Vegan Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d3961550-Reviews-Venerdi-London_England.html,?8 - ?19,4.0,4.5,4.0,2,4.2,703,"","",""
JW Steakhouse,"86 Park Ln, London W1K 7TN, UK",020 7399 8460,http://www.jwsteakhouse.co.uk/,"","Located at JW Marriott Grosvenor House London in London, United Kingdom, JW Steakhouse has firmly established itself as a leading American Steakhouse on the Mayfair dining scene. Featuring succulent U","American, Steakhouse, British","Reservations, Outdoor Seating, Private Dining, Seating, Parking Available, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Free Wifi, Accepts Credit Cards, Table Service, Gift C","Vegetarian Friendly, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d1785869-Reviews-JW_Steakhouse-London_England.html,?27 - ?65,4.5,4.5,4.0,3,4.4,628,"","",""
Little India,"32 Gloucester Rd, South Kensington, London SW7 4RB, UK",020 7584 3476,http://www.littleindialondon.com/,5,"",Indian,"Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner, Late Night",https://www.tripadvisor.com/Restaurant_Review-g186338-d1016157-Reviews-Little_India-London_England.html,"",4.5,4.5,4.0,2,4.3,654,"","",""
Fast Break,"113 Old St, London EC1V 9JR, UK",020 7253 3655,http://www.thefastbreak.co.uk/,3,"","Cafe, European, British","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Brunch",https://www.tripadvisor.com/Restaurant_Review-g186338-d12246210-Reviews-Fast_Break-London_England.html,"",5.0,4.5,5.0,1,4.4,272,"","",""
Palms of Goa,"12 Charlotte St., London W1T 2LU, UK",020 7636 1668,http://www.palmsofgoa.com/,4,"","Indian, Asian, Healthy","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d2154460-Reviews-Palms_of_Goa-London_England.html,?24 - ?36,4.5,4.5,4.5,2,4.4,483,"","",""
Peninsula Restaurant,"2nd Floor, One Waterview Dr, London SE10 0TW, UK",020 8463 6868,http://bit.ly/ICO2PeninsulaRestaurant,"","","European, British","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d10148721-Reviews-Peninsula_Restaurant-London_England.html,?34 - ?72,4.5,5.0,4.5,no price level,4.7,144,"","",""
Pentolina,"71 Blythe Rd, London W14 0HP, UK",no phone number,http://www.pentolinarestaurant.co.uk/,5,"","Italian, Mediterranean, European","Vegetarian Friendly, Vegan Options, Gluten Free Options","Lunch, Dinner",https://www.tripadvisor.com/Restaurant_Review-g186338-d2256999-Reviews-Pentolina-London_England.html,"",4.5,4.5,4.5,2,4.7,273,"","",""
Little Wonder Cafe,"48 Hornsey Rd, London N7 7BP, UK",020 3602 8239,no website,5,"","Cafe, British","Vegetarian Friendly, Vegan Options, Gluten Free Options","Breakfast, Lunch, Dinner, Brunch",https://www.tripadvisor.com/Restaurant_Review-g186338-d3343549-Reviews-Little_Wonder_Cafe-London_England.html,"",4.5,4.5,5.0,1,4.7,257,"","",""
Lord Wargrave,"40-42 Brendon St, London W1H 5HE, UK",020 7723 0559,https://www.lordwargrave.com/,4,"","Bar, Barbecue, British, Pub","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d1044772-Reviews-Lord_Wargrave-London_England.html,?2 - ?38,4.5,4.5,4.0,2,4.5,1011,"","",""
Da Mario Covent Garden,"63 Endell St, London WC2H 9AJ, UK",020 7240 3632,http://www.da-mario.co.uk/,"","Located a few minutes walk from Covent Garden. Da Mario is a small Italian family Restaurant in London serving fresh made pasta, fish, seafood, meat dishes and home-made desserts and some of the fines","Italian, Mediterranean, European, Healthy","Outdoor Seating, Reservations, Seating, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Accepts Credit Cards, Table Service, Street Parking, Wine and Beer, Family","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d718583-Reviews-Da_Mario_Covent_Garden-London_England.html,?30 - ?60,4.5,4.5,4.5,2,4.5,669,"","",""
Alexandrie Restaurant,"38C Kensington Church St, London W8 4BX, UK",020 7937 2244,http://www.alexandrie.co.uk/,"","","Mediterranean, Middle Eastern, Egyptian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d7589353-Reviews-Alexandrie_Restaurant-London_England.html,?7 - ?44,4.5,4.5,4.5,3,4.7,108,"","",""
Kamasutra Indian Restaurant,"2 Holcombe St, London W6 9JR, UK",020 8748 5000,https://www.kamasutrarestaurants.com/,5,"","Indian, Asian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d16801424-Reviews-Kamasutra_Indian_Restaurant-London_England.html,?18 - ?30,4.5,5.0,4.5,2,4.7,292,"","",""
Grato,"9 Kensington Square, London W8 5EP, UK",020 3371 9338,http://www.gratolondon.com/,5,"","Italian, Mediterranean, Tuscan, Central-Italian, Northern-Italian, Southern-Italian","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d17385148-Reviews-Grato-London_England.html,?5 - ?25,4.5,4.5,4.5,no price level,4.9,213,"","",""
The Peasant,"240 St John St, London EC1V 4PH, UK",020 7336 7726,http://www.thepeasant.co.uk/,5,"","Bar, British, Pub","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d720286-Reviews-The_Peasant-London_England.html,?11 - ?19,4.5,4.5,4.5,2,4.4,507,"","",""
Capeesh,"4 Pan Peninsula Square, London E14 9HN, UK",020 7538 1111,https://www.capeesh.co.uk/,4,"As an authentic Italian restaurant, we are pleased to take our place among the great restaurants in Canary Wharf, London. At Capeesh we do things differently. We are one of the finest restaurants in C","Italian, Pizza","Delivery, Takeout, Reservations, Outdoor Seating, Seating, Street Parking, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Digital Payments, Free Wifi, Accepts Credit Cards, Tab","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d13001816-Reviews-Capeesh-London_England.html,?5 - ?100,4.5,4.5,4.0,2,4.3,2035,"","",""
La Piccola Deli Pasticceria,"La Piccola Deli Pasticceria, 270 Kensington High St, London W8 6ND, UK",020 7371 6003,http://www.lapiccoladeli.com/,"","","Cafe, European","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d1316717-Reviews-La_Piccola_Deli_Pasticceria-London_England.html,?2 - ?30,4.5,4.5,4.5,2,4.6,377,"","",""
Leicester Square Kitchen,"31-36 Leicester Square, London WC2H 7LH, UK",020 7666 0902,https://www.thekitchensrestaurants.co.uk/leicester-square-kitchen?utm_source=Yext&utm_medium=Organic,"",Relaxed luxury in the heart of Leicester Square. Our ethos embraces the art of shared dining with a sophisticated yet unassuming setting. Leicester Square Kitchen will showcase an exquisite selection,"Mexican, Peruvian, Healthy","Reservations, Outdoor Seating, Seating, Highchairs Available, Wheelchair Accessible, Serves Alcohol, Full Bar, Accepts American Express, Accepts Mastercard, Accepts Visa, Free Wifi, Accepts Credit Car","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d12392823-Reviews-Leicester_Square_Kitchen-London_England.html,?20 - ?55,4.5,4.5,4.0,2,4.4,578,"","",""
Chez Elles Bistroquet,"45 Brick Ln, London E1 6PU, UK",020 7247 9699,http://www.chezellesbistroquet.co.uk/,"","","Wine Bar, French, European","","Vegetarian Friendly, Vegan Options, Gluten Free Options",https://www.tripadvisor.com/Restaurant_Review-g186338-d3296245-Reviews-Chez_Elles_Bistroquet-London_England.html,?18 - ?56,4.5,4.5,4.5,2,4.7,483,"","",""
